key,value,date
healthcare,47,10/12/20
healthcare,0,10/13/20
healthcare,3,10/14/20
healthcare,5,10/15/20
healthcare,12,10/16/20
healthcare,0,10/17/20
healthcare,5,10/18/20
healthcare,0,10/19/20
healthcare,5,10/20/20
healthcare,6,10/21/20
healthcare,7,10/22/20
healthcare,1289,10/23/20
healthcare,23,10/24/20
healthcare,39,10/25/20
healthcare,20,10/26/20
healthcare,16,10/27/20
healthcare,0,10/28/20
healthcare,5,10/29/20
healthcare,22,10/30/20
healthcare,114,10/31/20
healthcare,16,11/1/20
healthcare,8,11/2/20
healthcare,6,11/3/20
military,23,8/1/20
military,4,8/2/20
military,3,8/3/20
military,4,8/4/20
military,1,8/5/20
military,1764,8/6/20
military,201,8/7/20
military,1092,8/8/20
military,89,8/9/20
military,41,8/10/20
military,4,8/11/20
military,7,8/12/20
military,3,8/13/20
military,12,8/14/20
military,9,8/15/20
military,2,8/16/20
military,4,8/17/20
military,4,8/18/20
military,28,8/19/20
military,145,8/20/20
military,7,8/21/20
military,2,8/22/20
military,3,8/23/20
military,40,8/24/20
military,38,8/25/20
military,66,8/26/20
military,5,8/27/20
military,23,8/28/20
military,8,8/29/20
military,3,8/30/20
military,2176,8/31/20
military,496,9/1/20
military,189,9/2/20
military,57,9/3/20
military,31,9/4/20
military,284,9/5/20
military,2,9/6/20
military,43,9/7/20
military,12,9/8/20
military,20,9/9/20
military,7,9/10/20
military,5,9/11/20
military,160,9/12/20
military,56,9/13/20
military,32,9/14/20
military,56,9/15/20
military,9,9/16/20
military,4,9/17/20
military,82,9/18/20
military,2,9/19/20
military,4,9/20/20
military,7,9/21/20
military,6,9/22/20
military,62,9/23/20
military,87,9/24/20
military,45546,9/25/20
military,22271,9/26/20
military,5043,9/27/20
military,414,9/28/20
military,568,9/29/20
military,173,9/30/20
military,16017,10/1/20
military,420,10/2/20
military,2157,10/3/20
military,5487,10/4/20
military,481,10/5/20
military,1123,10/6/20
military,403,10/7/20
military,4991,10/8/20
military,154,10/9/20
military,179,10/10/20
military,37,10/11/20
military,140,10/12/20
military,7,10/13/20
military,51,10/14/20
military,105,10/15/20
military,429,10/16/20
military,7,10/17/20
military,701,10/18/20
military,13,10/19/20
military,79,10/20/20
military,53,10/21/20
military,23,10/22/20
military,51,10/23/20
military,230,10/24/20
military,114,10/25/20
military,67,10/26/20
military,258,10/27/20
military,0,10/28/20
military,196,10/29/20
military,369,10/30/20
military,772,10/31/20
military,629,11/1/20
military,1228,11/2/20
military,30,11/3/20
racism,51,8/1/20
racism,1963,8/2/20
racism,868,8/3/20
racism,333,8/4/20
racism,160,8/5/20
racism,3428,8/6/20
racism,4328,8/7/20
racism,246,8/8/20
racism,47,8/9/20
racism,48,8/10/20
racism,14,8/11/20
racism,212,8/12/20
racism,63,8/13/20
racism,42,8/14/20
racism,371,8/15/20
racism,300,8/16/20
racism,142,8/17/20
racism,27,8/18/20
racism,29,8/19/20
racism,123,8/20/20
racism,3,8/21/20
racism,96,8/22/20
racism,200,8/23/20
racism,215,8/24/20
racism,117,8/25/20
racism,140,8/26/20
racism,4002,8/27/20
racism,654,8/28/20
racism,140,8/29/20
racism,69,8/30/20
racism,37,8/31/20
racism,61,9/1/20
racism,228,9/2/20
racism,50,9/3/20
racism,16,9/4/20
racism,71,9/5/20
racism,5,9/6/20
racism,137,9/7/20
racism,57,9/8/20
racism,48,9/9/20
racism,8,9/10/20
racism,15,9/11/20
racism,78,9/12/20
racism,42,9/13/20
racism,15,9/14/20
racism,16,9/15/20
racism,70,9/16/20
racism,11,9/17/20
racism,86,9/18/20
racism,7,9/19/20
racism,20,9/20/20
racism,27,9/21/20
racism,35,9/22/20
racism,23,9/23/20
racism,35,9/24/20
racism,2862,9/25/20
racism,187,9/26/20
racism,58,9/27/20
racism,11,9/28/20
racism,14,9/29/20
racism,26,9/30/20
racism,7831,10/1/20
racism,97,10/2/20
racism,415,10/3/20
racism,581,10/4/20
racism,101,10/5/20
racism,372,10/6/20
racism,972,10/7/20
racism,148,10/8/20
racism,82,10/9/20
racism,178,10/10/20
racism,43,10/11/20
racism,96,10/12/20
racism,7,10/13/20
racism,20,10/14/20
racism,68,10/15/20
racism,2471,10/16/20
racism,41,10/17/20
racism,128,10/18/20
racism,18,10/19/20
racism,174,10/20/20
racism,89,10/21/20
racism,12,10/22/20
racism,12126,10/23/20
racism,837,10/24/20
racism,967,10/25/20
racism,217,10/26/20
racism,307,10/27/20
racism,1,10/28/20
racism,88,10/29/20
racism,571,10/30/20
racism,344,10/31/20
racism,15448,11/1/20
racism,1472,11/2/20
racism,451,11/3/20
taxes,18,8/1/20
taxes,6,8/2/20
taxes,5,8/3/20
taxes,4,8/4/20
taxes,1,8/5/20
taxes,3,8/6/20
taxes,4,8/7/20
taxes,4,8/8/20
taxes,6,8/9/20
taxes,2,8/10/20
taxes,3,8/11/20
taxes,10,8/12/20
taxes,4,8/13/20
taxes,1,8/14/20
taxes,4,8/15/20
taxes,0,8/16/20
taxes,2,8/17/20
taxes,3,8/18/20
taxes,3,8/19/20
taxes,9,8/20/20
taxes,0,8/21/20
taxes,2,8/22/20
taxes,1,8/23/20
taxes,7,8/24/20
taxes,0,8/25/20
taxes,8,8/26/20
taxes,1,8/27/20
taxes,3,8/28/20
taxes,1,8/29/20
taxes,2,8/30/20
taxes,0,8/31/20
taxes,4,9/1/20
taxes,11,9/2/20
taxes,2,9/3/20
taxes,1,9/4/20
taxes,28,9/5/20
taxes,0,9/6/20
taxes,6,9/7/20
taxes,0,9/8/20
taxes,1,9/9/20
taxes,1,9/10/20
taxes,1,9/11/20
taxes,4,9/12/20
taxes,5,9/13/20
taxes,0,9/14/20
taxes,1,9/15/20
taxes,4,9/16/20
taxes,2,9/17/20
taxes,13,9/18/20
taxes,0,9/19/20
taxes,4,9/20/20
taxes,4,9/21/20
taxes,3,9/22/20
taxes,1,9/23/20
taxes,1,9/24/20
taxes,11,9/25/20
taxes,4,9/26/20
taxes,1,9/27/20
taxes,14426,9/28/20
taxes,6022,9/29/20
taxes,1321,9/30/20
taxes,593,10/1/20
taxes,57,10/2/20
taxes,574,10/3/20
taxes,310,10/4/20
taxes,33,10/5/20
taxes,186,10/6/20
taxes,73,10/7/20
taxes,465,10/8/20
taxes,78,10/9/20
taxes,106,10/10/20
taxes,30,10/11/20
taxes,194,10/12/20
taxes,13,10/13/20
taxes,12,10/14/20
taxes,83,10/15/20
taxes,283,10/16/20
taxes,18,10/17/20
taxes,124,10/18/20
taxes,18,10/19/20
taxes,107,10/20/20
taxes,2195,10/21/20
taxes,71,10/22/20
taxes,288,10/23/20
taxes,44,10/24/20
taxes,57,10/25/20
taxes,100,10/26/20
taxes,103,10/27/20
taxes,0,10/28/20
taxes,73,10/29/20
taxes,221,10/30/20
taxes,583,10/31/20
taxes,183,11/1/20
taxes,248,11/2/20
taxes,18,11/3/20
courts,0,8/1/20
courts,0,8/2/20
courts,0,8/3/20
courts,0,8/4/20
courts,0,8/5/20
courts,0,8/6/20
courts,0,8/7/20
courts,0,8/8/20
courts,0,8/9/20
courts,0,8/10/20
courts,0,8/11/20
courts,0,8/12/20
courts,0,8/13/20
courts,0,8/14/20
courts,0,8/15/20
courts,0,8/16/20
courts,0,8/17/20
courts,0,8/18/20
courts,0,8/19/20
courts,0,8/20/20
courts,0,8/21/20
courts,0,8/22/20
courts,0,8/23/20
courts,0,8/24/20
courts,0,8/25/20
courts,0,8/26/20
courts,0,8/27/20
courts,0,8/28/20
courts,0,8/29/20
courts,0,8/30/20
courts,0,8/31/20
courts,0,9/1/20
courts,0,9/2/20
courts,0,9/3/20
courts,0,9/4/20
courts,0,9/5/20
courts,0,9/6/20
courts,0,9/7/20
courts,0,9/8/20
courts,0,9/9/20
courts,0,9/10/20
courts,0,9/11/20
courts,0,9/12/20
courts,0,9/13/20
courts,0,9/14/20
courts,0,9/15/20
courts,0,9/16/20
courts,0,9/17/20
courts,0,9/18/20
courts,0,9/19/20
courts,0,9/20/20
courts,0,9/21/20
courts,0,9/22/20
courts,0,9/23/20
courts,0,9/24/20
courts,0,9/25/20
courts,0,9/26/20
courts,0,9/27/20
courts,0,9/28/20
courts,0,9/29/20
courts,0,9/30/20
courts,1,10/1/20
courts,0,10/2/20
courts,0,10/3/20
courts,0,10/4/20
courts,0,10/5/20
courts,0,10/6/20
courts,0,10/7/20
courts,0,10/8/20
courts,0,10/9/20
courts,15,10/10/20
courts,3,10/11/20
courts,0,10/12/20
courts,0,10/13/20
courts,0,10/14/20
courts,0,10/15/20
courts,0,10/16/20
courts,0,10/17/20
courts,0,10/18/20
courts,0,10/19/20
courts,0,10/20/20
courts,0,10/21/20
courts,0,10/22/20
courts,0,10/23/20
courts,0,10/24/20
