key,value,date
law-enforcement,271,9/13/20
law-enforcement,82,9/14/20
law-enforcement,19,9/15/20
law-enforcement,66,9/16/20
law-enforcement,82,9/17/20
law-enforcement,0,9/18/20
law-enforcement,31,9/19/20
law-enforcement,139,9/20/20
law-enforcement,16,9/21/20
law-enforcement,10,9/22/20
law-enforcement,19,9/23/20
law-enforcement,11,9/24/20
law-enforcement,33,9/25/20
law-enforcement,22,9/26/20
law-enforcement,79,9/27/20
law-enforcement,15,9/28/20
law-enforcement,1,9/29/20
law-enforcement,275,9/30/20
law-enforcement,9,10/1/20
law-enforcement,8,10/2/20
law-enforcement,5,10/3/20
law-enforcement,2,10/4/20
law-enforcement,4,10/5/20
law-enforcement,10,10/6/20
law-enforcement,12,10/7/20
law-enforcement,3,10/8/20
law-enforcement,13,10/9/20
law-enforcement,4,10/10/20
law-enforcement,9,10/11/20
law-enforcement,0,10/12/20
law-enforcement,7,10/13/20
law-enforcement,3,10/14/20
law-enforcement,1,10/15/20
law-enforcement,3,10/16/20
law-enforcement,8,10/17/20
law-enforcement,2,10/18/20
law-enforcement,4,10/19/20
law-enforcement,5,10/20/20
law-enforcement,1,10/21/20
law-enforcement,10,10/22/20
law-enforcement,6,10/23/20
law-enforcement,9,10/24/20
law-enforcement,6,10/25/20
law-enforcement,13,10/26/20
law-enforcement,3,10/27/20
law-enforcement,19,10/28/20
law-enforcement,17,10/29/20
law-enforcement,130,10/30/20
law-enforcement,17,10/31/20
law-enforcement,9,11/1/20
law-enforcement,18,11/2/20
law-enforcement,11,11/3/20
campaigning,95,8/1/20
campaigning,118,8/2/20
campaigning,91,8/3/20
campaigning,124,8/4/20
campaigning,5347,8/5/20
campaigning,383,8/6/20
campaigning,81,8/7/20
campaigning,46,8/8/20
campaigning,296,8/9/20
campaigning,186,8/10/20
campaigning,139,8/11/20
campaigning,147,8/12/20
campaigning,392,8/13/20
campaigning,885,8/14/20
campaigning,2327,8/15/20
campaigning,977,8/16/20
campaigning,1011,8/17/20
campaigning,530,8/18/20
campaigning,882,8/19/20
campaigning,605,8/20/20
campaigning,944,8/21/20
campaigning,376,8/22/20
campaigning,99,8/23/20
campaigning,273,8/24/20
campaigning,174,8/25/20
campaigning,7,8/26/20
campaigning,207,8/27/20
campaigning,329,8/28/20
campaigning,249,8/29/20
campaigning,1248,8/30/20
campaigning,432,8/31/20
campaigning,1027,9/1/20
campaigning,787,9/2/20
campaigning,192,9/3/20
campaigning,207,9/4/20
campaigning,235,9/5/20
campaigning,45,9/6/20
campaigning,487,9/7/20
campaigning,222,9/8/20
campaigning,205,9/9/20
campaigning,1280,9/10/20
campaigning,532,9/11/20
campaigning,1237,9/12/20
campaigning,307,9/13/20
campaigning,31047,9/14/20
campaigning,5183,9/15/20
campaigning,939,9/16/20
campaigning,1682,9/17/20
campaigning,22,9/18/20
campaigning,1265,9/19/20
campaigning,249,9/20/20
campaigning,83,9/21/20
campaigning,104,9/22/20
campaigning,553,9/23/20
campaigning,4984,9/24/20
campaigning,12407,9/25/20
campaigning,3523,9/26/20
campaigning,722,9/27/20
campaigning,815,9/28/20
campaigning,243,9/29/20
campaigning,1297,9/30/20
campaigning,62,10/1/20
campaigning,240,10/2/20
campaigning,139,10/3/20
campaigning,41,10/4/20
campaigning,46,10/5/20
campaigning,854,10/6/20
campaigning,3970,10/7/20
campaigning,44,10/8/20
campaigning,451,10/9/20
campaigning,37,10/10/20
campaigning,94,10/11/20
campaigning,1,10/12/20
campaigning,43,10/13/20
campaigning,21,10/14/20
campaigning,0,10/15/20
campaigning,32,10/16/20
campaigning,135,10/17/20
campaigning,15,10/18/20
campaigning,24,10/19/20
campaigning,10,10/20/20
campaigning,10,10/21/20
campaigning,133,10/22/20
campaigning,350,10/23/20
campaigning,53,10/24/20
campaigning,27,10/25/20
campaigning,639,10/26/20
campaigning,25,10/27/20
campaigning,115,10/28/20
campaigning,46,10/29/20
campaigning,92,10/30/20
campaigning,30,10/31/20
campaigning,49,11/1/20
campaigning,53,11/2/20
campaigning,57,11/3/20
covid,73,8/1/20
covid,60,8/2/20
covid,218,8/3/20
covid,233,8/4/20
covid,352,8/5/20
covid,83,8/6/20
covid,79,8/7/20
covid,297,8/8/20
covid,86,8/9/20
covid,193,8/10/20
covid,345,8/11/20
covid,230,8/12/20
covid,128,8/13/20
covid,93,8/14/20
covid,73,8/15/20
covid,86,8/16/20
covid,35,8/17/20
covid,850,8/18/20
covid,141,8/19/20
covid,43,8/20/20
covid,229,8/21/20
covid,177,8/22/20
covid,93,8/23/20
covid,177,8/24/20
covid,304,8/25/20
covid,20,8/26/20
covid,453,8/27/20
covid,1688,8/28/20
covid,490,8/29/20
covid,161,8/30/20
covid,278,8/31/20
covid,292,9/1/20
covid,515,9/2/20
covid,586,9/3/20
covid,120,9/4/20
covid,392,9/5/20
covid,7,9/6/20
covid,176,9/7/20
covid,192,9/8/20
covid,1306,9/9/20
covid,6536,9/10/20
covid,903,9/11/20
covid,726,9/12/20
covid,210,9/13/20
covid,681,9/14/20
covid,252,9/15/20
covid,774,9/16/20
covid,1445,9/17/20
covid,48,9/18/20
covid,253,9/19/20
covid,124,9/20/20
covid,50,9/21/20
covid,535,9/22/20
covid,1599,9/23/20
covid,416,9/24/20
covid,290,9/25/20
covid,270,9/26/20
covid,358,9/27/20
covid,77,9/28/20
covid,17,9/29/20
covid,773,9/30/20
covid,480,10/1/20
covid,739,10/2/20
covid,520,10/3/20
covid,71,10/4/20
covid,50,10/5/20
covid,111,10/6/20
covid,162,10/7/20
covid,116,10/8/20
covid,476,10/9/20
covid,23,10/10/20
covid,515,10/11/20
covid,6,10/12/20
covid,1759,10/13/20
covid,904,10/14/20
covid,6,10/15/20
covid,878,10/16/20
covid,487,10/17/20
covid,504,10/18/20
covid,69,10/19/20
covid,111,10/20/20
covid,31,10/21/20
covid,498,10/22/20
covid,15715,10/23/20
covid,5172,10/24/20
covid,272,10/25/20
covid,699,10/26/20
covid,226,10/27/20
covid,1023,10/28/20
covid,368,10/29/20
covid,2553,10/30/20
covid,1916,10/31/20
covid,1592,11/1/20
covid,462,11/2/20
covid,166,11/3/20
economy,32,8/1/20
economy,34,8/2/20
economy,47,8/3/20
economy,233,8/4/20
economy,258,8/5/20
economy,7,8/6/20
economy,4008,8/7/20
economy,379,8/8/20
economy,103,8/9/20
economy,119,8/10/20
economy,233,8/11/20
economy,108,8/12/20
economy,176,8/13/20
economy,160,8/14/20
economy,5813,8/15/20
economy,236,8/16/20
economy,83,8/17/20
economy,747,8/18/20
economy,180,8/19/20
economy,55,8/20/20
economy,290,8/21/20
economy,128,8/22/20
economy,233,8/23/20
economy,367,8/24/20
economy,291,8/25/20
economy,34,8/26/20
economy,1844,8/27/20
economy,118,8/28/20
economy,197,8/29/20
economy,224,8/30/20
economy,155,8/31/20
economy,90,9/1/20
economy,72,9/2/20
economy,106,9/3/20
economy,117,9/4/20
economy,255,9/5/20
economy,13,9/6/20
economy,497,9/7/20
economy,363,9/8/20
economy,134,9/9/20
economy,80,9/10/20
economy,125,9/11/20
economy,71,9/12/20
economy,97,9/13/20
economy,186,9/14/20
economy,2266,9/15/20
economy,343,9/16/20
economy,349,9/17/20
economy,8,9/18/20
economy,437,9/19/20
economy,248,9/20/20
economy,70,9/21/20
economy,133,9/22/20
economy,79,9/23/20
economy,706,9/24/20
economy,513,9/25/20
economy,89,9/26/20
economy,270,9/27/20
economy,256,9/28/20
economy,52,9/29/20
economy,1187,9/30/20
economy,49,10/1/20
economy,3436,10/2/20
economy,226,10/3/20
economy,29,10/4/20
economy,27,10/5/20
economy,26,10/6/20
economy,21,10/7/20
economy,70,10/8/20
economy,112,10/9/20
economy,115,10/10/20
economy,176,10/11/20
economy,2,10/12/20
economy,42,10/13/20
economy,15,10/14/20
economy,942,10/15/20
economy,3279,10/16/20
economy,623,10/17/20
economy,246,10/18/20
economy,256,10/19/20
economy,57,10/20/20
economy,32,10/21/20
economy,1709,10/22/20
economy,68,10/23/20
economy,213,10/24/20
economy,22,10/25/20
economy,140,10/26/20
economy,378,10/27/20
economy,321,10/28/20
economy,11309,10/29/20
economy,4443,10/30/20
economy,512,10/31/20
economy,189,11/1/20
economy,207,11/2/20
economy,444,11/3/20
healthcare,15,8/1/20
healthcare,15,8/2/20
healthcare,359,8/3/20
healthcare,107,8/4/20
healthcare,30,8/5/20
healthcare,14,8/6/20
healthcare,26,8/7/20
healthcare,108,8/8/20
healthcare,84,8/9/20
healthcare,746,8/10/20
healthcare,594,8/11/20
healthcare,28,8/12/20
healthcare,11,8/13/20
healthcare,10,8/14/20
healthcare,11,8/15/20
healthcare,14,8/16/20
healthcare,3,8/17/20
healthcare,41,8/18/20
healthcare,45,8/19/20
healthcare,10,8/20/20
healthcare,17,8/21/20
healthcare,86,8/22/20
healthcare,7,8/23/20
healthcare,18,8/24/20
healthcare,67,8/25/20
healthcare,4,8/26/20
healthcare,851,8/27/20
healthcare,51,8/28/20
healthcare,33,8/29/20
healthcare,8,8/30/20
healthcare,36,8/31/20
healthcare,58,9/1/20
healthcare,17,9/2/20
healthcare,53,9/3/20
healthcare,11,9/4/20
healthcare,13,9/5/20
healthcare,1,9/6/20
healthcare,26,9/7/20
healthcare,18,9/8/20
healthcare,158,9/9/20
healthcare,65,9/10/20
healthcare,59,9/11/20
healthcare,95,9/12/20
healthcare,19,9/13/20
healthcare,224,9/14/20
healthcare,39,9/15/20
healthcare,194,9/16/20
healthcare,234,9/17/20
healthcare,9,9/18/20
healthcare,37,9/19/20
healthcare,37,9/20/20
healthcare,14,9/21/20
healthcare,259,9/22/20
