key,value,political leaning,date
law-enforcement,0,liberal,10/11/20
law-enforcement,0,liberal,10/12/20
law-enforcement,0,liberal,10/13/20
law-enforcement,0,liberal,10/14/20
law-enforcement,0,liberal,10/15/20
law-enforcement,0,liberal,10/16/20
law-enforcement,0,liberal,10/17/20
law-enforcement,0,liberal,10/18/20
law-enforcement,0,liberal,10/19/20
law-enforcement,0,liberal,10/20/20
law-enforcement,0,liberal,10/21/20
law-enforcement,0,liberal,10/22/20
law-enforcement,0,liberal,10/23/20
law-enforcement,0,liberal,10/24/20
law-enforcement,0,liberal,10/25/20
law-enforcement,0,liberal,10/26/20
law-enforcement,0,liberal,10/27/20
law-enforcement,0,liberal,10/28/20
law-enforcement,0,liberal,10/29/20
law-enforcement,0,liberal,10/30/20
law-enforcement,0,liberal,10/31/20
law-enforcement,0,liberal,11/1/20
law-enforcement,0,liberal,11/2/20
law-enforcement,0,liberal,11/3/20
campaigning,0,liberal,8/1/20
campaigning,0,liberal,8/2/20
campaigning,0,liberal,8/3/20
campaigning,0,liberal,8/4/20
campaigning,0,liberal,8/5/20
campaigning,0,liberal,8/6/20
campaigning,0,liberal,8/7/20
campaigning,0,liberal,8/8/20
campaigning,0,liberal,8/9/20
campaigning,1,liberal,8/10/20
campaigning,1,liberal,8/11/20
campaigning,0,liberal,8/12/20
campaigning,0,liberal,8/13/20
campaigning,3,liberal,8/14/20
campaigning,1,liberal,8/15/20
campaigning,1,liberal,8/16/20
campaigning,0,liberal,8/17/20
campaigning,0,liberal,8/18/20
campaigning,2,liberal,8/19/20
campaigning,2,liberal,8/20/20
campaigning,0,liberal,8/21/20
campaigning,0,liberal,8/22/20
campaigning,0,liberal,8/23/20
campaigning,0,liberal,8/24/20
campaigning,1,liberal,8/25/20
campaigning,0,liberal,8/26/20
campaigning,10,liberal,8/27/20
campaigning,0,liberal,8/28/20
campaigning,0,liberal,8/29/20
campaigning,1,liberal,8/30/20
campaigning,1,liberal,8/31/20
campaigning,3,liberal,9/1/20
campaigning,0,liberal,9/2/20
campaigning,0,liberal,9/3/20
campaigning,0,liberal,9/4/20
campaigning,0,liberal,9/5/20
campaigning,0,liberal,9/6/20
campaigning,0,liberal,9/7/20
campaigning,0,liberal,9/8/20
campaigning,0,liberal,9/9/20
campaigning,4,liberal,9/10/20
campaigning,2,liberal,9/11/20
campaigning,0,liberal,9/12/20
campaigning,11,liberal,9/13/20
campaigning,21,liberal,9/14/20
campaigning,20,liberal,9/15/20
campaigning,4,liberal,9/16/20
campaigning,3,liberal,9/17/20
campaigning,4,liberal,9/18/20
campaigning,0,liberal,9/19/20
campaigning,0,liberal,9/20/20
campaigning,6,liberal,9/21/20
campaigning,1,liberal,9/22/20
campaigning,0,liberal,9/23/20
campaigning,0,liberal,9/24/20
campaigning,2,liberal,9/25/20
campaigning,0,liberal,9/26/20
campaigning,0,liberal,9/27/20
campaigning,1,liberal,9/28/20
campaigning,0,liberal,9/29/20
campaigning,3,liberal,9/30/20
campaigning,0,liberal,10/1/20
campaigning,3,liberal,10/2/20
campaigning,1,liberal,10/3/20
campaigning,0,liberal,10/4/20
campaigning,0,liberal,10/5/20
campaigning,1,liberal,10/6/20
campaigning,1,liberal,10/7/20
campaigning,0,liberal,10/8/20
campaigning,4,liberal,10/9/20
campaigning,0,liberal,10/10/20
campaigning,0,liberal,10/11/20
campaigning,1,liberal,10/12/20
campaigning,1,liberal,10/13/20
campaigning,1,liberal,10/14/20
campaigning,0,liberal,10/15/20
campaigning,0,liberal,10/16/20
campaigning,3,liberal,10/17/20
campaigning,0,liberal,10/18/20
campaigning,1,liberal,10/19/20
campaigning,0,liberal,10/20/20
campaigning,0,liberal,10/21/20
campaigning,0,liberal,10/22/20
campaigning,3,liberal,10/23/20
campaigning,0,liberal,10/24/20
campaigning,1,liberal,10/25/20
campaigning,0,liberal,10/26/20
campaigning,0,liberal,10/27/20
campaigning,0,liberal,10/28/20
campaigning,0,liberal,10/29/20
campaigning,0,liberal,10/30/20
campaigning,0,liberal,10/31/20
campaigning,0,liberal,11/1/20
campaigning,0,liberal,11/2/20
campaigning,0,liberal,11/3/20
covid,0,liberal,8/1/20
covid,3,liberal,8/2/20
covid,1,liberal,8/3/20
covid,1,liberal,8/4/20
covid,0,liberal,8/5/20
covid,2,liberal,8/6/20
covid,2,liberal,8/7/20
covid,0,liberal,8/8/20
covid,3,liberal,8/9/20
covid,1,liberal,8/10/20
covid,0,liberal,8/11/20
covid,0,liberal,8/12/20
covid,0,liberal,8/13/20
covid,1,liberal,8/14/20
covid,0,liberal,8/15/20
covid,1,liberal,8/16/20
covid,0,liberal,8/17/20
covid,0,liberal,8/18/20
covid,0,liberal,8/19/20
covid,1,liberal,8/20/20
covid,0,liberal,8/21/20
covid,3,liberal,8/22/20
covid,1,liberal,8/23/20
covid,0,liberal,8/24/20
covid,0,liberal,8/25/20
covid,0,liberal,8/26/20
covid,0,liberal,8/27/20
covid,0,liberal,8/28/20
covid,1,liberal,8/29/20
covid,1,liberal,8/30/20
covid,0,liberal,8/31/20
covid,0,liberal,9/1/20
covid,5,liberal,9/2/20
covid,2,liberal,9/3/20
covid,4,liberal,9/4/20
covid,11,liberal,9/5/20
covid,4,liberal,9/6/20
covid,5,liberal,9/7/20
covid,3,liberal,9/8/20
covid,10,liberal,9/9/20
covid,6,liberal,9/10/20
covid,12,liberal,9/11/20
covid,6,liberal,9/12/20
covid,4,liberal,9/13/20
covid,1,liberal,9/14/20
covid,4,liberal,9/15/20
covid,7,liberal,9/16/20
covid,3,liberal,9/17/20
covid,6,liberal,9/18/20
covid,0,liberal,9/19/20
covid,5,liberal,9/20/20
covid,10,liberal,9/21/20
covid,6,liberal,9/22/20
covid,4,liberal,9/23/20
covid,2,liberal,9/24/20
covid,0,liberal,9/25/20
covid,0,liberal,9/26/20
covid,0,liberal,9/27/20
covid,0,liberal,9/28/20
covid,4,liberal,9/29/20
covid,4,liberal,9/30/20
covid,1,liberal,10/1/20
covid,7,liberal,10/2/20
covid,6,liberal,10/3/20
covid,3,liberal,10/4/20
covid,3,liberal,10/5/20
covid,1,liberal,10/6/20
covid,1,liberal,10/7/20
covid,1,liberal,10/8/20
covid,0,liberal,10/9/20
covid,0,liberal,10/10/20
covid,0,liberal,10/11/20
covid,0,liberal,10/12/20
covid,0,liberal,10/13/20
covid,4,liberal,10/14/20
covid,3,liberal,10/15/20
covid,2,liberal,10/16/20
covid,2,liberal,10/17/20
covid,4,liberal,10/18/20
covid,4,liberal,10/19/20
covid,3,liberal,10/20/20
covid,5,liberal,10/21/20
covid,4,liberal,10/22/20
covid,44,liberal,10/23/20
covid,43,liberal,10/24/20
covid,11,liberal,10/25/20
covid,13,liberal,10/26/20
covid,9,liberal,10/27/20
covid,8,liberal,10/28/20
covid,10,liberal,10/29/20
covid,9,liberal,10/30/20
covid,4,liberal,10/31/20
covid,0,liberal,11/1/20
covid,2,liberal,11/2/20
covid,1,liberal,11/3/20
economy,0,liberal,8/1/20
economy,0,liberal,8/2/20
economy,1,liberal,8/3/20
economy,0,liberal,8/4/20
economy,0,liberal,8/5/20
economy,0,liberal,8/6/20
economy,0,liberal,8/7/20
economy,0,liberal,8/8/20
economy,0,liberal,8/9/20
economy,0,liberal,8/10/20
economy,0,liberal,8/11/20
economy,0,liberal,8/12/20
economy,0,liberal,8/13/20
economy,0,liberal,8/14/20
economy,0,liberal,8/15/20
economy,0,liberal,8/16/20
economy,0,liberal,8/17/20
economy,0,liberal,8/18/20
economy,0,liberal,8/19/20
economy,0,liberal,8/20/20
economy,0,liberal,8/21/20
economy,0,liberal,8/22/20
economy,0,liberal,8/23/20
economy,1,liberal,8/24/20
economy,3,liberal,8/25/20
economy,2,liberal,8/26/20
economy,3,liberal,8/27/20
economy,0,liberal,8/28/20
economy,0,liberal,8/29/20
economy,0,liberal,8/30/20
economy,0,liberal,8/31/20
economy,0,liberal,9/1/20
economy,0,liberal,9/2/20
economy,0,liberal,9/3/20
economy,1,liberal,9/4/20
economy,0,liberal,9/5/20
economy,1,liberal,9/6/20
economy,3,liberal,9/7/20
economy,1,liberal,9/8/20
economy,2,liberal,9/9/20
economy,0,liberal,9/10/20
economy,0,liberal,9/11/20
economy,0,liberal,9/12/20
economy,0,liberal,9/13/20
economy,0,liberal,9/14/20
economy,0,liberal,9/15/20
economy,0,liberal,9/16/20
economy,0,liberal,9/17/20
economy,2,liberal,9/18/20
economy,0,liberal,9/19/20
economy,0,liberal,9/20/20
economy,0,liberal,9/21/20
economy,2,liberal,9/22/20
economy,0,liberal,9/23/20
economy,2,liberal,9/24/20
economy,0,liberal,9/25/20
economy,0,liberal,9/26/20
economy,0,liberal,9/27/20
economy,1,liberal,9/28/20
economy,1,liberal,9/29/20
economy,8,liberal,9/30/20
economy,0,liberal,10/1/20
economy,0,liberal,10/2/20
economy,0,liberal,10/3/20
economy,0,liberal,10/4/20
economy,0,liberal,10/5/20
economy,0,liberal,10/6/20
economy,0,liberal,10/7/20
economy,3,liberal,10/8/20
economy,0,liberal,10/9/20
economy,0,liberal,10/10/20
economy,0,liberal,10/11/20
economy,0,liberal,10/12/20
economy,0,liberal,10/13/20
economy,0,liberal,10/14/20
economy,0,liberal,10/15/20
economy,6,liberal,10/16/20
economy,0,liberal,10/17/20
economy,0,liberal,10/18/20
economy,0,liberal,10/19/20
economy,0,liberal,10/20/20
economy,0,liberal,10/21/20
economy,8,liberal,10/22/20
economy,4,liberal,10/23/20
economy,0,liberal,10/24/20
economy,0,liberal,10/25/20
economy,1,liberal,10/26/20
economy,5,liberal,10/27/20
economy,0,liberal,10/28/20
economy,3,liberal,10/29/20
economy,0,liberal,10/30/20
economy,1,liberal,10/31/20
economy,0,liberal,11/1/20
economy,4,liberal,11/2/20
economy,1,liberal,11/3/20
healthcare,0,liberal,8/1/20
healthcare,0,liberal,8/2/20
